Shape_Leng;Shape_Area;ADM2_EN;ADM2_PCODE;DATA
2.46932794098;0.19460578720;Empat Lawang;ID1611;
2.32742941428;0.15650453573;Penukal Abab Lematang Ilir;ID1612;
4.17535288298;0.47447797144;Musi Rawas Utara;ID1613;
1.03972133108;0.02991948175;Kota Palembang;ID1671;
0.98517962292;0.03309472875;Kota Prabumulih;ID1672;
1.18324900462;0.04811476999;Kota Pagar Alam;ID1673;
0.98140755360;0.02985844587;Kota Lubuklinggau;ID1674;
0.44737873162;0.00768336592;Danau;ID1688;
1.59839871071;0.09996753308;Bengkulu Selatan;ID1701;
2.08446896636;0.12264027634;Rejang Lebong;ID1702;
4.07837088648;0.36095195905;Bengkulu Utara;ID1703;
2.64767773185;0.20710516928;Kaur;ID1704;
2.33359737806;0.19980939898;Seluma;ID1705;
2.83555690019;0.34640175102;Mukomuko;ID1706;
2.24500818612;0.13555568357;Lebong;ID1707;
1.21507175556;0.05743690939;Kepahiang;ID1708;
1.32773873662;0.08506426017;Bengkulu Tengah;ID1709;
0.73557034511;0.01519598106;Kota Bengkulu;ID1771;
3.35253216714;0.19740954707;Lampung Barat;ID1801;
4.65418292646;0.22645111864;Tanggamus;ID1802;
4.76634678794;0.17684471758;Lampung Selatan;ID1803;
4.09878448777;0.31925442981;Lampung Timur;ID1804;
5.10176957140;0.37633887150;Lampung Tengah;ID1805;
2.57955075301;0.20808987261;Lampung Utara;ID1806;
3.50887382969;0.29750872108;Way Kanan;ID1807;
3.86138632570;0.25197128110;Tulangbawang;ID1808;
4.12731607715;0.11090731525;Pesawaran;ID1809;
1.64877628650;0.04925430387;Pringsewu;ID1810;
2.88031433637;0.17722929344;Mesuji;ID1811;
2.57916862370;0.10644852121;Tulang Bawang Barat;ID1812;
3.97960969827;0.21902857136;Pesisir Barat;ID1813;
0.98901412764;0.01434498489;Kota Bandar Lampung;ID1871;
0.57821184978;0.00634375462;Kota Metro;ID1872;
0.31986189348;0.00235681434;Danau;ID1888;
3.60761826908;0.24517990181;Bangka;ID1901;
6.83651972168;0.18803455788;Belitung;ID1902;
3.09309711288;0.23471108072;Bangka Barat;ID1903;
3.83212487387;0.17284582218;Bangka Tengah;ID1904;
5.33631327286;0.30145312230;Bangka Selatan;ID1905;
4.69698597198;0.20776454425;Belitung Timur;ID1906;
0.52626486348;0.00850266615;Kota Pangkal Pinang;ID1971;
8.42485224641;0.07487546097;Karimun;ID2101;
8.31640871283;0.10857080746;Bintan;ID2102;
7.90906822769;0.16184380602;Natuna;ID2103;
16.90685878120;0.17934517562;Lingga;ID2104;
10.73199124490;0.05185457442;Kepulauan Anambas;ID2105;
13.63523766300;0.08214480820;Kota Batam;ID2171;
1.14945703960;0.01204765986;Kota Tanjung Pinang;ID2172;
1.27801530332;0.00088027048;Kepulauan Seribu;ID3101;
0.83897135134;0.01183367113;Kota Jakarta Selatan;ID3171;
1.02111347555;0.01508924842;Kota Jakarta Timur;ID3172;
0.38375891176;0.00391253143;Kota Jakarta Pusat;ID3173;
0.59033987536;0.01025101773;Kota Jakarta Barat;ID3174;
1.14300465737;0.01145892822;Kota Jakarta Utara;ID3175;
4.45034244925;0.24474031080;Bogor;ID3201;939
4.03165209687;0.34082833585;Sukabumi;ID3202;921
4.74114170596;0.29407915012;Cianjur;ID3203;31
3.09300513614;0.14360665068;Bandung;ID3204;912
3.47754170886;0.25300159828;Garut;ID3205;829
3.84010318171;0.22080093059;Tasikmalaya;ID3206;485
3.13095827272;0.13047728675;Ciamis;ID3207;709
1.92131292965;0.09702478667;Kuningan;ID3208;590
2.75282701323;0.08738231418;Cirebon;ID3209;589
2.51178679812;0.10967306512;Majalengka;ID3210;389
2.34897316019;0.12741347217;Sumedang;ID3211;612
3.14883281994;0.17028961449;Indramayu;ID3212;724
2.72799244995;0.17747942314;Subang;ID3213;417
1.82024049235;0.08085631855;Purwakarta;ID3214;174
2.89890253703;0.15641686376;Karawang;ID3215;655
2.55336901177;0.10359739484;Bekasi;ID3216;565
3.02756289785;0.10447586108;Bandung Barat;ID3217;360
2.44371068978;0.09286664181;Pangandaran;ID3218;611
0.67565660485;0.00913669555;Kota Bogor;ID3271;428
0.42999425458;0.00400533457;Kota Sukabumi;ID3272;204
